stage,shard_id,start_ts,duration_s,notes
shamir_split,shard_23,1761272732.3323674,0.000000,n=5;t=3
distribute_shares,shard_23,1761272732.335689,0.002571,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_23,1761272732.3393197,0.017862,replicated_to=5
encrypt,shard_24,1761272732.361724,0.001312,rows=3000
save_enc,shard_24,1761272732.363036,0.000000,3_p2p_storage\shards\shard_24.enc
shamir_split,shard_24,1761272732.363036,0.000000,n=5;t=3
distribute_shares,shard_24,1761272732.363036,0.006101,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_24,1761272732.369137,0.019023,replicated_to=5
encrypt,shard_25,1761272732.3891563,0.002046,rows=3000
save_enc,shard_25,1761272732.391202,0.000999,3_p2p_storage\shards\shard_25.enc
shamir_split,shard_25,1761272732.3932002,0.000000,n=5;t=3
distribute_shares,shard_25,1761272732.3932002,0.001142,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_25,1761272732.394342,0.021615,replicated_to=5
encrypt,shard_26,1761272732.4164612,0.000000,rows=3000
save_enc,shard_26,1761272732.4164612,0.000000,3_p2p_storage\shards\shard_26.enc
shamir_split,shard_26,1761272732.4164612,0.000000,n=5;t=3
distribute_shares,shard_26,1761272732.4164612,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_26,1761272732.4164612,0.025455,replicated_to=5
encrypt,shard_27,1761272732.4431372,0.002100,rows=3000
save_enc,shard_27,1761272732.4452367,0.000000,3_p2p_storage\shards\shard_27.enc
shamir_split,shard_27,1761272732.4467273,0.000000,n=5;t=3
distribute_shares,shard_27,1761272732.4467273,0.002002,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_27,1761272732.4487298,0.021122,replicated_to=5
encrypt,shard_28,1761272732.469852,0.001292,rows=3000
save_enc,shard_28,1761272732.4711437,0.000000,3_p2p_storage\shards\shard_28.enc
shamir_split,shard_28,1761272732.4711437,0.000000,n=5;t=3
distribute_shares,shard_28,1761272732.4711437,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_28,1761272732.4711437,0.023628,replicated_to=5
encrypt,shard_29,1761272732.498355,0.001174,rows=3000
save_enc,shard_29,1761272732.499529,0.002854,3_p2p_storage\shards\shard_29.enc
shamir_split,shard_29,1761272732.5023825,0.000000,n=5;t=3
distribute_shares,shard_29,1761272732.5038266,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_29,1761272732.5061038,0.019894,replicated_to=5
encrypt,shard_30,1761272732.527234,0.001752,rows=3000
save_enc,shard_30,1761272732.5289865,0.000000,3_p2p_storage\shards\shard_30.enc
shamir_split,shard_30,1761272732.5289865,0.000000,n=5;t=3
distribute_shares,shard_30,1761272732.5289865,0.004642,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_30,1761272732.533629,0.020638,replicated_to=5
encrypt,shard_31,1761272732.5542674,0.000000,rows=3000
save_enc,shard_31,1761272732.5542674,0.000000,3_p2p_storage\shards\shard_31.enc
shamir_split,shard_31,1761272732.5542674,0.000000,n=5;t=3
distribute_shares,shard_31,1761272732.5605063,0.000000,nodes=['node1'; 'node2'; 'node3'; 'node4'; 'node5']
replicate,shard_31,1761272732.5627549,0.024086,replicated_to=5
encrypt,shard_32,1761272732.5878458,0.002305,rows=3000
